chapitres,personnages,resume
1,"luffy,shanks,gold roger,yasopp,lucky roo,ben beckman,makino,higuma,hoop slap,","luffy fait la rencontre de shanks et de son équipage pirate. Cette rencontre changera à tout jamais la vie de luffy. Dix ans après cette rencontre, luffy débute son périple en tant que pirate."
2,"luffy,koby,alvida","À son début de voyage pour devenir le Seigneur des Pirates, luffy rencontre son premier ami Koby et son premier ennemi alvida."
3,"luffy,koby,zoro,rika,hermep","luffy et koby arrivent à Shells Town une île avec une base de la Marine où est retenu prisonnier zoro. En dépit du fait que zoro soit vu comme un démon, luffy persiste à aller le rencontrer pour le faire rentrer dans son équipage. Là, lui et koby rencontrèrent rika, une jeune fille que zoro a protégé, ce qui lui a valu d'être emprisonné."
4,"luffy,koby,hermep,rika,ririka,zoro,morgan,rokkaku","luffy va à nouveau voir zoro pour l'inviter à rejoindre son équipage mais zoro refuse toujours. luffy décide de récupérer les épées de zoro qu'hermep lui a pris, afin qu'il puisse faire du sabreur sa nouvelle recrue. Pendant ce temps, les hommes du Colonel morgan dressent une statue géante à son effigie, qui est détruite accidentellement par luffy en récupérant les épées de zoro. morgan, irrité, ordonne à ses hommes de capturer luffy pour qu'il puisse le tuer."
5,"luffy,hermep,koby,zoro,morgan,kuina,kôshirô","morgan et ses hommes s'apprêtent à tuer zoro et koby, tandis que luffy récupère les épées du sabreur. Ce dernier ne veut veux pas mourir maintenant à cause d'une promesse qu'il a faite à son amie d'enfance, kuina. luffy arrive à point nommé et protège koby et zoro des balles grâce à sa capacité élastique. zoro se rend compte que, s'il veut vivre, il n'a pas le choix, il doit rejoindre l'équipage de luffy."
6,"luffy,zoro,morgan,koby,hermep","zoro, qui est enfin libre et luffy affrontent les soldats de la marine puis se frottent à morgan. Mais ils sont forcé de s'arrêter quand hermep menace de tirer sur koby. luffy qui tente de sauver koby est menacé par morgan qui s'apprête à le tuer, mais il est arrêté par zoro. Les deux antagonistes sont hors d'état de nuire."
7,"hermep,morgan,luffy,zoro,koby,rika,ririka,ripper","Les soldats de morgan sont reconnaissants envers luffy, car il les a libérés de la tyrannie du colonel. luffy et zoro vont donc pouvoir commencer leur périple de pirate. koby qui veut faire partie de la marine ne les accompagne pas, le commandant ripper lui demande alors s'il fait partie de leur bande, puis se tourne vers les pirates. luffy sauve koby en le provoquant jusqu'à ce qu'il le frappe. Le commandant ayant compris qu'il n'est pas des leurs demande aux pirates de quitter le village. Après leur départ, koby demande à rejoindre la Marine et finit par être accepté."
8,"luffy,zoro,funambules brothers,freaky domingos,nami,pinky","Afin d'avoir de quoi manger pour lui et zoro, luffy essaie d'attraper un oiseau, mais finit par être emporté par celui-ci. zoro le poursuit en bateau, et ramasse au passage 3 pirates de l'équipage de baggy le Clown. Pendant ce temps, luffy qui a atterri sur une île proche, rencontre une jeune fille nommée nami, qui était occupée à fuir des pirates."
9,"luffy,zoro,baggy,cabaji,morge,richie,funambules brothers,freaky domingos,nami","nami essaie de s'associer à luffy dans le but de réunir 100 millions de Berrys pour racheter son village. De leur côté, les Pirates de baggy tentent de retrouver la carte qu'elle a volée, sans succès. baggy, fou de rage exécute un de ses hommes au canon. nami explique à luffy la situation et lui décrit baggy Le Clown. Cependant ayant appris que nami est bonne navigatrice, luffy lui demande de rejoindre son équipage, ce qu'elle refuse immédiatement, en expliquant que les pirates sont ce qu'elle déteste le plus. Mais contre tout attente nami accepte de faire équipe avec luffy, s'il l'accompagne voir baggy. Malheureusement, la voleuse ligote le jeune pirate et le livre à baggy en le présentant comme son chef."
10,"luffy,zoro,baggy,nami","Le plan de nami se passe bien jusqu'à ce que baggy lui demande de tuer luffy, qui est emprisonné dans une cage, à l'aide d'un canon. Devant l'hésitation de nami, un homme de baggy tente d'allumer la mèche, mais cette dernière l’assomme. Hors de lui, baggy ordonne à ses hommes d'abattre la voleuse. Heureusement zoro l'a sauve, mais baggy qui le reconnait le provoque en duel. Le sabreur le découpe aussitôt."
11,"luffy,zoro,baggy,nami",
12,"luffy,zoro,baggy,morge,richie,nami,chouchou,buddle,hokker",
13,"luffy,baggy,morge,richie,nami,chouchou,buddle,hokker",
14,"luffy,zoro,nami,baggy,morge,richie,chouchou,buddle,hokker,polo",
15,"luffy,zoro,nami,baggy,cabaji,buddle",
16,"luffy,zoro,nami,baggy,cabaji,morge,richie,buddle",
17,"luffy,zoro,nami,baggy,cabaji",
18,"luffy,zoro,nami,baggy,cabaji,morge,shanks,buddle",
19,"luffy,nami,baggy,rayleigh,gabban,shanks,polo,buddle",
20,"luffy,zoro,nami,baggy",
21,"luffy,zoro,nami,cabaji,morge,buddle,polo,chouchou",
22,"luffy,zoro,nami,gaimon,cocofox",
23,"luffy,zoro,nami,usopp,piment,oignon,carotte,morning,kaya,klahadore",
24,"luffy,zoro,nami,usopp,pimet,oignon,carotte,kaya,klahadore,merry",
25,"luffy,zoro,nami,usopp,piment,oignon,carotte,yasopp,lucky roux,jango,kaya,klahadore",
26,"luffy,zoro,nami,usopp,piment,oignon,carotte,jango,kuro,kaya,merry",
27,"luffy,zoro,nami,usopp,piment,oignon,carotte,kaya,merry",
28,"luffy,zoro,nami,usopp,kuro,jango,kaya,merry",
29,"luffy,zoro,nami,usopp,jango",
30,"luffy,zoro,nami,usopp,oignon,kuro,jango,merry",
31,"luffy,zoro,nami,usopp,carotte,oignon,piment,kuro,jango,sham,buchi,kaya,merry",
32,"luffy,zoro,nami,usopp,kuro,jango,sham,tigré",
33,"luffy,zoro,nami,usopp,kuro,jango,sham,tigré",
34,"luffy,zoro,nami,usopp,kuro,jango,sham,tigré,kaya",
35,"luffy,zoro,usopp,piment,carotte,oignon,kuro,jango,tigré,kaya",
36,"luffy,zoro,usopp,piment,carotte,oignon,kuro,jango,tigré,kaya",
37,"luffy,kura,jango,tigré,sham,nugire yainu,morgan",
38,"luffy,zoro,nami,usopp,piment,carotte,oignon,kuro,jango,kaya",
39,"luffy,zoro,nami,usopp,piment,carotte,oignon,kuro,jango,kaya",
40,"luffy,zoro,nami,usopp,piment,carotte,oignon,kuro,jango,kaya",
41,"luffy,zoro,nami,usopp,kaya,merry,piment,carotte,oignon,bankina",
42,"luffy,zoro,nami,usopp,johnny,yosaku",
43,"luffy,zoro,nami,usopp,arlong,fullbody,zeff,sanji,motzel,moodie,johnny,yosaku,batchee",
44,"luffy,gin,don krieg,fullbody,zeff,sanji,patty",
45,"luffy,zoro,nami,usopp,gin,don krieg,zeff,sanji,patty,carne",
46,"luffy,zoro,nami,usopp,don krieg,gin,zeff,sanji,patty,carne,roxanne,johnny,yosaku",
47,"luffy,don krieg,gin,zeff,sanji,patty,carne",
48,"luffy,zoro,usopp,krieg,gin,zeff,sanji,patty,carne,mihawk",
49,"luffy,zoro,nami,usopp,don krieg,gin,zeff,sanji,patty,carne,johnny,yosaku,mihawk",
50,"luffy,zoro,nami,usopp,don krieg,gin,zeff,sanji,patty,carne,belmer,johnny,yosaku,mihawk",
51,"luffy,zoro,usopp,don krieg,zeff,sanji,patty,carne,kuina,johnny,yosaku,mihawk",
52,"luffy,zoro,nami,usopp,don krieg,zeff,sanji,patty,johnny,yosaku,mihawk",
53,"luffy,don krieg,zeff,sanji,patty,carne",
54,"luffy,don krieg,pearl,gin,zeff,sanji,patty,carne",
55,"luffy,don krieg,pearl,gin,ideaman,zeff,sanji,patty,carne",
56,"luffy,don krieg,pearl,gin,ideaman,zeff,sanji,patty,carne",
57,"sanji,zeff",
58,"luffy,zeff,gin,pearl,sanji",
59,"luffy,don krieg,gin,pearl,zeff,sanji,patty,carne",
60,"luffy,don krieg,gin,hustle,zeff,sanji,patty,carne",
61,"luffy,don krieg,gin,zeff,sanji,patty,carne",
62,"luffy,don krieg,gin,zeff,sanji,patty,carne",
63,"luffy,don krieg,gin,zeff,sanji,patty,carne",
64,"luffy,don krieg,gin,kagikko,zeff,sanji,patty,carne",
65,"luffy,don krieg,zeff,sanji",
66,"luffy,zoro,don krieg,gin,zeff,sanji,patty,carne",
67,"luffy,don krieg,gin,zeff,sanji,patty,carne",
68,"luffy,sanji,zeff,patty,carne,yosaku,panda shark",
69,"luffy,zoro,usopp,sanji,mihawk,arlong,hatchan,kuroobi,smack,nami,nezumi,chabo,yosaku,johnny",
70,"zoro,usopp,arlong,hatchan,nami,chabo,nojiko,johnny",
71,"zoro,usopp,arlong,nami,kuroobi,smack,nojiko,genzo",
72,"zoro,usopp,arlong,nami,kuroobi,smack,kaneshiro,pisaro,nojiko,genzo",
